0.011  7.83018e-06 3.9931
0.021  5.44504e-05 3.97642
0.031  0.000174755 3.94955
0.041  0.000402949 3.91266
0.051  0.000772229 3.866
0.061  0.00131447 3.80991
0.071  0.00205996 3.74482
0.081  0.00303706 3.67118
0.091  0.00427203 3.58952
0.101  0.00578874 3.50042
0.111  0.00760847 3.4045
0.121  0.00974974 3.30241
0.131  0.0122282 3.19482
0.141  0.0150563 3.08246
0.151  0.0182436 2.96602
0.161  0.0217963 2.84623
0.171  0.0257175 2.72382
0.181  0.0300068 2.5995
0.191  0.0346611 2.47396
0.201  0.0396737 2.34789
0.211  0.0450351 2.22193
0.221  0.0507329 2.09671
0.231  0.0567518 1.97281
0.241  0.063074 1.85079
0.251  0.0696792 1.73113
0.261  0.0765448 1.61431
0.271  0.0836465 1.50073
0.281  0.0909577 1.39076
0.291  0.0984507 1.28471
0.301  0.106096 1.18286
0.311  0.113864 1.08542
0.321  0.121724 0.992573
0.331  0.129643 0.90444
0.341  0.137591 0.82111
0.351  0.145535 0.742631
0.361  0.153443 0.669011
0.371  0.161285 0.600221
0.381  0.16903 0.536205
0.391  0.176648 0.476873
0.401  0.184111 0.422111
0.411  0.191391 0.371785
0.421  0.198463 0.325737
0.431  0.205302 0.283795
0.441  0.211885 0.245773
0.451  0.218193 0.211476
0.461  0.224205 0.180699
0.471  0.229906 0.153233
0.481  0.235281 0.128865
0.491  0.240318 0.107382
0.501  0.245006 0.0885709
0.511  0.249339 0.072223
0.521  0.25331 0.0581327
0.531  0.256917 0.0461001
0.541  0.26016 0.0359321
0.551  0.263042 0.0274429
0.561  0.265566 0.0204547
0.571  0.26774 0.0147983
0.581  0.269575 0.0103136
0.591  0.271085 0.00684895
0.601  0.272284 0.00426181
0.611  0.273194 0.00241782
0.621  0.273839 0.0011902
0.631  0.274248 0.000458614
0.641  0.274455 0.0001089
