0.002  8.45923e-08 3.99927
0.003  3.1415e-07 3.99773
0.004  7.61025e-07 3.99551
0.005  1.49741e-06 3.99262
0.006  2.5953e-06 3.98909
0.007  4.12639e-06 3.9849
0.008  6.16211e-06 3.98008
0.009  8.77349e-06 3.97461
0.01  1.20311e-05 3.96851
0.011  1.60052e-05 3.96178
0.012  2.07654e-05 3.95442
0.013  2.63807e-05 3.94643
0.014  3.29195e-05 3.93783
0.015  4.04497e-05 3.92861
0.016  4.90383e-05 3.91877
0.017  5.87515e-05 3.90833
0.018  6.9655e-05 3.8973
0.019  8.18132e-05 3.88566
0.02  9.529e-05 3.87344
0.021  0.000110148 3.86063
0.022  0.000126449 3.84725
0.023  0.000144254 3.8333
0.024  0.000163623 3.81879
0.025  0.000184614 3.80372
0.026  0.000207284 3.7881
0.027  0.00023169 3.77194
0.028  0.000257887 3.75525
0.029  0.000285929 3.73804
0.03  0.000315868 3.72031
0.031  0.000347754 3.70207
0.032  0.000381639 3.68334
0.033  0.00041757 3.66412
0.034  0.000455594 3.64442
0.035  0.000495756 3.62425
0.036  0.000538102 3.60362
0.037  0.000582672 3.58254
0.038  0.000629509 3.56102
0.039  0.000678651 3.53907
0.04  0.000730137 3.5167
0.041  0.000784003 3.49392
0.042  0.000840283 3.47074
0.043  0.000899011 3.44717
0.044  0.000960217 3.42323
0.045  0.00102393 3.39893
0.046  0.00109018 3.37426
0.047  0.001159 3.34926
0.048  0.0012304 3.32392
0.049  0.00130442 3.29827
0.05  0.00138106 3.2723
0.051  0.00146036 3.24603
0.052  0.00154233 3.21948
0.053  0.00162698 3.19266
0.054  0.00171433 3.16557
0.055  0.0018044 3.13823
0.056  0.00189719 3.11065
0.057  0.00199272 3.08285
0.058  0.00209099 3.05482
0.059  0.002192 3.0266
0.06  0.00229577 2.99818
0.061  0.00240229 2.96957
0.062  0.00251157 2.9408
0.063  0.0026236 2.91187
0.064  0.00273839 2.8828
0.065  0.00285593 2.85359
0.066  0.0029762 2.82425
0.067  0.00309922 2.7948
0.068  0.00322496 2.76526
0.069  0.00335342 2.73562
0.07  0.00348459 2.7059
0.071  0.00361845 2.67611
0.072  0.00375499 2.64627
0.073  0.00389419 2.61638
0.074  0.00403604 2.58645
0.075  0.00418052 2.5565
0.076  0.0043276 2.52654
0.077  0.00447726 2.49656
0.078  0.00462948 2.4666
0.079  0.00478425 2.43665
0.08  0.00494152 2.40672
0.081  0.00510128 2.37683
0.082  0.0052635 2.34698
0.083  0.00542815 2.31719
0.084  0.00559519 2.28746
0.085  0.00576461 2.2578
0.086  0.00593635 2.22822
0.087  0.0061104 2.19872
0.088  0.00628672 2.16933
0.089  0.00646527 2.14004
0.09  0.00664602 2.11086
0.091  0.00682892 2.08181
0.092  0.00701395 2.05288
0.093  0.00720106 2.02409
0.094  0.00739022 1.99545
0.095  0.00758137 1.96695
0.096  0.0077745 1.93861
0.097  0.00796954 1.91044
0.098  0.00816646 1.88243
0.099  0.00836522 1.8546
0.1  0.00856577 1.82695
0.101  0.00876808 1.7995
0.102  0.00897209 1.77223
0.103  0.00917776 1.74516
0.104  0.00938505 1.7183
0.105  0.00959391 1.69165
0.106  0.00980429 1.66521
0.107  0.0100162 1.63899
0.108  0.0102295 1.61299
0.109  0.0104441 1.58722
0.11  0.0106602 1.56168
0.111  0.0108775 1.53637
0.112  0.011096 1.5113
0.113  0.0113158 1.48647
0.114  0.0115367 1.46189
0.115  0.0117588 1.43755
0.116  0.0119818 1.41346
0.117  0.0122059 1.38963
0.118  0.012431 1.36605
0.119  0.012657 1.34272
0.12  0.0128838 1.31966
0.121  0.0131115 1.29685
0.122  0.01334 1.27431
0.123  0.0135692 1.25203
0.124  0.013799 1.23002
0.125  0.0140296 1.20827
0.126  0.0142607 1.18679
0.127  0.0144924 1.16558
0.128  0.0147245 1.14463
0.129  0.0149572 1.12395
0.13  0.0151902 1.10354
0.131  0.0154236 1.08341
0.132  0.0156574 1.06354
0.133  0.0158915 1.04394
0.134  0.0161258 1.0246
0.135  0.0163603 1.00554
0.136  0.0165949 0.986745
0.137  0.0168297 0.968217
0.138  0.0170646 0.949955
0.139  0.0172995 0.93196
0.14  0.0175344 0.914229
0.141  0.0177693 0.896761
0.142  0.0180041 0.879556
0.143  0.0182388 0.862612
0.144  0.0184733 0.845929
0.145  0.0187077 0.829503
0.146  0.0189418 0.813334
0.147  0.0191757 0.797421
0.148  0.0194093 0.78176
0.149  0.0196426 0.766352
0.15  0.0198755 0.751193
0.151  0.020108 0.736282
0.152  0.0203401 0.721616
0.153  0.0205717 0.707195
0.154  0.0208029 0.693015
0.155  0.0210335 0.679074
0.156  0.0212637 0.665371
0.157  0.0214932 0.651902
0.158  0.0217221 0.638666
0.159  0.0219504 0.62566
0.16  0.0221781 0.612882
0.161  0.022405 0.600329
0.162  0.0226313 0.587999
0.163  0.0228568 0.575889
0.164  0.0230816 0.563996
0.165  0.0233055 0.552319
0.166  0.0235287 0.540855
0.167  0.0237511 0.5296
0.168  0.0239726 0.518552
0.169  0.0241932 0.50771
0.17  0.024413 0.497069
0.171  0.0246319 0.486627
0.172  0.0248498 0.476382
0.173  0.0250668 0.466331
0.174  0.0252828 0.45647
0.175  0.0254978 0.446799
0.176  0.0257118 0.437313
0.177  0.0259249 0.42801
0.178  0.0261368 0.418888
0.179  0.0263478 0.409943
0.18  0.0265577 0.401173
0.181  0.0267665 0.392576
0.182  0.0269742 0.384148
0.183  0.0271809 0.375887
0.184  0.0273864 0.367791
0.185  0.0275908 0.359856
0.186  0.0277941 0.352081
0.187  0.0279962 0.344461
0.188  0.0281972 0.336996
0.189  0.028397 0.329682
0.19  0.0285956 0.322517
0.191  0.028793 0.315498
0.192  0.0289893 0.308623
0.193  0.0291844 0.301889
0.194  0.0293782 0.295294
0.195  0.0295709 0.288835
0.196  0.0297623 0.282511
0.197  0.0299525 0.276317
0.198  0.0301415 0.270253
0.199  0.0303293 0.264316
0.2  0.0305158 0.258503
0.201  0.030701 0.252813
0.202  0.030885 0.247243
0.203  0.0310678 0.24179
0.204  0.0312493 0.236453
0.205  0.0314296 0.231229
0.206  0.0316086 0.226116
0.207  0.0317863 0.221113
0.208  0.0319628 0.216216
0.209  0.032138 0.211425
0.21  0.032312 0.206736
0.211  0.0324847 0.202148
0.212  0.0326561 0.19766
0.213  0.0328262 0.193268
0.214  0.0329951 0.188971
0.215  0.0331627 0.184767
0.216  0.0333291 0.180655
0.217  0.0334942 0.176632
0.218  0.033658 0.172697
0.219  0.0338206 0.168847
0.22  0.0339819 0.165082
0.221  0.0341419 0.161399
0.222  0.0343007 0.157797
0.223  0.0344583 0.154275
0.224  0.0346146 0.150829
0.225  0.0347696 0.147459
0.226  0.0349234 0.144164
0.227  0.035076 0.140941
0.228  0.0352273 0.13779
0.229  0.0353774 0.134708
0.23  0.0355263 0.131695
0.231  0.0356739 0.128748
0.232  0.0358203 0.125867
0.233  0.0359655 0.12305
0.234  0.0361095 0.120295
0.235  0.0362522 0.117602
0.236  0.0363938 0.114969
0.237  0.0365341 0.112394
0.238  0.0366733 0.109877
0.239  0.0368113 0.107416
0.24  0.0369481 0.10501
0.241  0.0370837 0.102658
0.242  0.0372181 0.100358
0.243  0.0373514 0.09811
0.244  0.0374835 0.0959124
0.245  0.0376145 0.093764
0.246  0.0377443 0.0916637
0.247  0.0378729 0.0896106
0.248  0.0380004 0.0876036
0.249  0.0381268 0.0856417
0.25  0.0382521 0.0837239
0.251  0.0383762 0.0818492
0.252  0.0384993 0.0800167
0.253  0.0386212 0.0782254
0.254  0.038742 0.0764744
0.255  0.0388617 0.0747628
0.256  0.0389803 0.0730898
0.257  0.0390979 0.0714545
0.258  0.0392144 0.069856
0.259  0.0393298 0.0682936
0.26  0.0394441 0.0667663
0.261  0.0395574 0.0652735
0.262  0.0396697 0.0638144
0.263  0.0397809 0.0623882
0.264  0.039891 0.0609941
0.265  0.0400002 0.0596315
0.266  0.0401083 0.0582997
0.267  0.0402154 0.0569979
0.268  0.0403215 0.0557254
0.269  0.0404266 0.0544817
0.27  0.0405307 0.053266
0.271  0.0406338 0.0520778
0.272  0.0407359 0.0509164
0.273  0.0408371 0.0497812
0.274  0.0409373 0.0486716
0.275  0.0410366 0.047587
0.276  0.0411349 0.0465269
0.277  0.0412322 0.0454907
0.278  0.0413286 0.0444779
0.279  0.0414241 0.0434879
0.28  0.0415187 0.0425202
0.281  0.0416123 0.0415744
0.282  0.0417051 0.0406498
0.283  0.0417969 0.0397461
0.284  0.0418878 0.0388628
0.285  0.0419779 0.0379994
0.286  0.0420671 0.0371554
0.287  0.0421554 0.0363304
0.288  0.0422428 0.035524
0.289  0.0423294 0.0347358
0.29  0.0424151 0.0339652
0.291  0.0424999 0.0332121
0.292  0.042584 0.0324758
0.293  0.0426672 0.0317561
0.294  0.0427495 0.0310526
0.295  0.0428311 0.0303649
0.296  0.0429118 0.0296926
0.297  0.0429918 0.0290355
0.298  0.0430709 0.0283931
0.299  0.0431492 0.0277651
0.3  0.0432268 0.0271512
0.301  0.0433036 0.026551
0.302  0.0433796 0.0259644
0.303  0.0434548 0.0253908
0.304  0.0435293 0.0248301
0.305  0.043603 0.024282
0.306  0.043676 0.0237462
0.307  0.0437482 0.0232223
0.308  0.0438197 0.0227101
0.309  0.0438905 0.0222094
0.31  0.0439606 0.0217199
0.311  0.0440299 0.0212414
0.312  0.0440985 0.0207735
0.313  0.0441665 0.0203161
0.314  0.0442337 0.0198688
0.315  0.0443002 0.0194316
0.316  0.0443661 0.0190041
0.317  0.0444313 0.0185861
0.318  0.0444958 0.0181774
0.319  0.0445596 0.0177779
0.32  0.0446228 0.0173872
0.321  0.0446853 0.0170052
0.322  0.0447472 0.0166318
0.323  0.0448084 0.0162666
0.324  0.044869 0.0159095
0.325  0.044929 0.0155604
0.326  0.0449883 0.015219
0.327  0.0450471 0.0148852
0.328  0.0451052 0.0145588
0.329  0.0451627 0.0142396
0.33  0.0452196 0.0139275
0.331  0.0452759 0.0136223
0.332  0.0453316 0.0133239
0.333  0.0453867 0.0130321
0.334  0.0454412 0.0127467
0.335  0.0454952 0.0124677
0.336  0.0455486 0.0121948
