0.011  4.0701e-06 0.99732
0.021  2.82735e-05 0.990707
0.031  9.05754e-05 0.980076
0.041  0.000208314 0.965539
0.051  0.000397916 0.947264
0.061  0.000674635 0.92546
0.071  0.00105231 0.900376
0.081  0.00154315 0.872294
0.091  0.00215755 0.841525
0.101  0.00290396 0.808401
0.111  0.00378876 0.773276
0.121  0.00481619 0.736511
0.131  0.00598836 0.698477
0.141  0.0073052 0.65954
0.151  0.00876455 0.620064
0.161  0.0103622 0.580399
0.171  0.0120922 0.540879
0.181  0.0139467 0.501818
0.191  0.0159162 0.463502
0.201  0.0179901 0.426193
0.211  0.0201565 0.390118
0.221  0.0224025 0.355475
0.231  0.0247145 0.322426
0.241  0.0270786 0.291101
0.251  0.0294804 0.261597
0.261  0.0319056 0.23398
0.271  0.0343401 0.208285
0.281  0.03677 0.18452
0.291  0.0391819 0.162668
0.301  0.0415631 0.14269
0.311  0.0439017 0.124531
0.321  0.0461866 0.108116
0.331  0.0484076 0.0933622
0.341  0.0505556 0.0801738
0.351  0.0526223 0.0684506
0.361  0.0546007 0.058088
0.371  0.0564848 0.0489796
0.381  0.0582693 0.0410196
0.391  0.0599503 0.0341039
0.401  0.0615247 0.028132
0.411  0.0629902 0.0230079
0.421  0.0643456 0.0186405
0.431  0.0655904 0.0149446
0.441  0.066725 0.0118412
0.451  0.0677503 0.00925743
0.461  0.0686682 0.00712657
0.471  0.069481 0.00538809
0.481  0.0701917 0.00398729
0.491  0.0708041 0.00287504
0.501  0.0713223 0.00200746
0.511  0.071751 0.00134547
0.521  0.0720958 0.000854445
0.531  0.0723625 0.000503755
0.541  0.0725581 0.000266329
0.551  0.0726901 0.000118194
0.561  0.0727672 3.80017e-05
