0.011  2.29192e-06 0.999409
0.021  1.59529e-05 0.997979
0.031  5.12942e-05 0.995665
0.041  0.000118581 0.992467
0.051  0.000228012 0.988392
0.061  0.000389695 0.983445
0.071  0.000613628 0.977635
0.081  0.000909677 0.970971
0.091  0.00128755 0.963465
0.101  0.00175679 0.955129
0.111  0.00232672 0.945978
0.121  0.00300647 0.936027
0.131  0.0038049 0.925293
0.141  0.00473065 0.913793
0.151  0.00579203 0.901549
0.161  0.00699707 0.88858
0.171  0.00835346 0.874908
0.181  0.00986857 0.860557
0.191  0.0115494 0.845552
0.201  0.0134024 0.829917
0.211  0.0154339 0.813681
0.221  0.0176496 0.79687
0.231  0.0200548 0.779514
0.241  0.0226542 0.761642
0.251  0.0254523 0.743286
0.261  0.0284527 0.724477
0.271  0.0316588 0.705248
0.281  0.0350732 0.685633
0.291  0.038698 0.665665
0.301  0.0425347 0.64538
0.311  0.0465843 0.624813
0.321  0.0508468 0.604001
0.331  0.0553219 0.58298
0.341  0.0600085 0.561787
0.351  0.0649046 0.540461
0.361  0.0700077 0.519038
0.371  0.0753143 0.497558
0.381  0.0808205 0.47606
0.391  0.0865211 0.454581
0.401  0.0924104 0.433161
0.411  0.0984818 0.411839
0.421  0.104728 0.390654
0.431  0.111139 0.369645
0.441  0.117708 0.34885
0.451  0.124423 0.328308
0.461  0.131272 0.308058
0.471  0.138244 0.288137
0.481  0.145324 0.268583
0.491  0.152499 0.249434
0.501  0.159751 0.230726
0.511  0.167065 0.212495
0.521  0.174422 0.194777
0.531  0.181801 0.177607
0.541  0.189182 0.161019
0.551  0.196541 0.145047
0.561  0.203856 0.129723
0.571  0.211098 0.11508
0.581  0.21824 0.101149
0.591  0.225252 0.0879609
0.601  0.232101 0.0755458
0.611  0.238751 0.0639336
0.621  0.245164 0.0531539
0.631  0.251298 0.0432365
0.641  0.257104 0.0342118
0.651  0.262531 0.026112
0.661  0.267517 0.0189722
0.671  0.271991 0.0128334
0.681  0.275864 0.00774726
0.691  0.279021 0.00378747
0.701  0.281278 0.00108613
